"id","dummyExpoSplit","milConflictCode","exposureName","exposureValue","percent"
293,0,"OIF/OEF/OND","Animal Bodies","No",36.74
390,0,"ODSS","Animal Bodies","Yes",67.12
112,0,"OIF/OEF/OND","Animal Bodies","No",36.27
333,0,"ODSS","Animal Bodies","Don't Know",62.29
36,0,"OIF/OEF/OND","Animal Bodies","Yes",13.16
35,0,"OIF/OEF/OND","Animal Bodies","No",38.39
87,0,"OIF/OEF/OND","Animal Bodies","Don't Know",52.92
292,0,"ODSS","Animal Bodies","No",39.88
111,0,"OIF/OEF/OND","Animal Bodies","No",54.63
361,0,"ODSS","Animal Bodies","Don't Know",30.96
406,0,"OIF/OEF/OND","Animal Bodies","No",48.94
31,0,"OIF/OEF/OND","Animal Bodies","Yes",9.28
73,0,"OIF/OEF/OND","Animal Bodies","Don't Know",52.28
289,0,"OIF/OEF/OND","Animal Bodies","No",56.35
354,0,"OIF/OEF/OND","Animal Bodies","Yes",3.07
92,0,"ODSS","Animal Bodies","No",60.44
318,0,"ODSS","Animal Bodies","No",14.5
392,0,"OIF/OEF/OND","Animal Bodies","Don't Know",30.52
150,0,"ODSS","Animal Bodies","Yes",34.75
239,0,"ODSS","Animal Bodies","No",64.38
376,0,"OIF/OEF/OND","Animal Bodies","Yes",32.38
334,0,"ODSS","Animal Bodies","Don't Know",59.46
30,0,"OIF/OEF/OND","Animal Bodies","Yes",36.08
156,0,"ODSS","Animal Bodies","Yes",51.45
412,0,"ODSS","Animal Bodies","Yes",60.17
276,0,"OIF/OEF/OND","Animal Bodies","Yes",29.84
261,0,"ODSS","Animal Bodies","Yes",49.67
301,0,"ODSS","Animal Bodies","Yes",18.24
282,0,"OIF/OEF/OND","Animal Bodies","No",31.14
142,0,"ODSS","Animal Bodies","No",55.03
275,0,"ODSS","Animal Bodies","Don't Know",33.22
132,0,"OIF/OEF/OND","Animal Bodies","Yes",38.05
8,0,"ODSS","Animal Bodies","Don't Know",47.29
271,0,"OIF/OEF/OND","Animal Bodies","No",49.58
123,0,"OIF/OEF/OND","Animal Bodies","Yes",56.82
175,0,"ODSS","Animal Bodies","Yes",51.29
246,0,"OIF/OEF/OND","Animal Bodies","Yes",33.17
297,0,"OIF/OEF/OND","Animal Bodies","Don't Know",34.93
19,0,"OIF/OEF/OND","Animal Bodies","No",57.29
269,0,"OIF/OEF/OND","Animal Bodies","No",17.55
391,0,"ODSS","Animal Bodies","Yes",34.68
149,0,"OIF/OEF/OND","Animal Bodies","Don't Know",32.33
221,0,"OIF/OEF/OND","Animal Bodies","Don't Know",61.72
268,0,"ODSS","Animal Bodies","Don't Know",61.53
385,0,"ODSS","Animal Bodies","Don't Know",56.95
345,0,"OIF/OEF/OND","Animal Bodies","Yes",57.87
50,0,"ODSS","Animal Bodies","No",52.62
28,0,"ODSS","Animal Bodies","No",49.65
12,0,"ODSS","Animal Bodies","No",51.54
181,0,"OIF/OEF/OND","Animal Bodies","Don't Know",44.35
401,0,"ODSS","Animal Bodies","Don't Know",11.08
341,0,"ODSS","Animal Bodies","Yes",49.24
193,0,"ODSS","Animal Bodies","No",26.12
6,0,"ODSS","Animal Bodies","Yes",31.6
59,0,"OIF/OEF/OND","Animal Bodies","Yes",31.49
88,0,"OIF/OEF/OND","Animal Bodies","Yes",51.47
304,0,"ODSS","Animal Bodies","Yes",24.82
18,0,"OIF/OEF/OND","Animal Bodies","Yes",56.75
216,0,"ODSS","Animal Bodies","Don't Know",56.32
389,0,"OIF/OEF/OND","Animal Bodies","Don't Know",6.65
190,0,"ODSS","Animal Bodies","Yes",11.75
114,0,"ODSS","Animal Bodies","Don't Know",34.93
245,0,"OIF/OEF/OND","Animal Bodies","Yes",6.9
213,0,"OIF/OEF/OND","Animal Bodies","Yes",55.52
56,0,"ODSS","Animal Bodies","Yes",37.16
79,0,"ODSS","Animal Bodies","No",48.01
68,0,"ODSS","Animal Bodies","Yes",53.9
395,0,"ODSS","Animal Bodies","Don't Know",11.47
140,0,"OIF/OEF/OND","Animal Bodies","Don't Know",31.45
218,0,"ODSS","Animal Bodies","Yes",57.83
281,0,"OIF/OEF/OND","Animal Bodies","No",49.26
410,0,"ODSS","Animal Bodies","No",62.97
394,0,"OIF/OEF/OND","Animal Bodies","Don't Know",28.66
120,0,"OIF/OEF/OND","Animal Bodies","No",60.34
138,0,"OIF/OEF/OND","Animal Bodies","Don't Know",38.41
414,0,"OIF/OEF/OND","Animal Bodies","No",64.37
95,0,"ODSS","Animal Bodies","Don't Know",50.51
403,0,"ODSS","Animal Bodies","Don't Know",52.77
231,0,"ODSS","Animal Bodies","No",57
259,0,"OIF/OEF/OND","Animal Bodies","No",55.23
71,0,"ODSS","Animal Bodies","Don't Know",30.88
65,0,"ODSS","Animal Bodies","Don't Know",58.02
60,0,"OIF/OEF/OND","Animal Bodies","Yes",28.07
234,0,"OIF/OEF/OND","Animal Bodies","Yes",53.03
37,0,"OIF/OEF/OND","Animal Bodies","No",31.38
388,0,"OIF/OEF/OND","Animal Bodies","Don't Know",16.54
1,0,"ODSS","Animal Bodies","No",36.92
233,0,"OIF/OEF/OND","Animal Bodies","Don't Know",59.27
219,0,"ODSS","Animal Bodies","Don't Know",61.76
70,0,"ODSS","Animal Bodies","No",66.57
379,0,"ODSS","Animal Bodies","Yes",31.74
179,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",11.94
14,0,"ODSS","Anthrax Vaccine","Yes",71.48
118,0,"ODSS","Anthrax Vaccine","Don't Know",21.2
256,0,"ODSS","Anthrax Vaccine","No",65.54
254,0,"ODSS","Anthrax Vaccine","No",65.32
211,0,"OIF/OEF/OND","Anthrax Vaccine","No",66.35
359,0,"ODSS","Anthrax Vaccine","No",65.5
32,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",64.41
109,0,"ODSS","Anthrax Vaccine","Yes",15.93
23,0,"ODSS","Anthrax Vaccine","Yes",74.02
224,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",68.35
166,0,"ODSS","Anthrax Vaccine","No",70.33
76,0,"ODSS","Anthrax Vaccine","Don't Know",20.69
353,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",15.42
347,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",21.77
294,0,"ODSS","Anthrax Vaccine","Yes",72.46
41,0,"ODSS","Anthrax Vaccine","No",68.86
316,0,"OIF/OEF/OND","Anthrax Vaccine","No",65.28
342,0,"ODSS","Anthrax Vaccine","No",74.56
39,0,"OIF/OEF/OND","Anthrax Vaccine","No",70.46
159,0,"ODSS","Anthrax Vaccine","Yes",65.32
240,0,"OIF/OEF/OND","Anthrax Vaccine","No",13.9
286,0,"OIF/OEF/OND","Anthrax Vaccine","No",23.11
158,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",72.19
199,0,"ODSS","Anthrax Vaccine","Yes",73.24
160,0,"ODSS","Anthrax Vaccine","Yes",9.15
155,0,"ODSS","Anthrax Vaccine","No",17.79
66,0,"ODSS","Anthrax Vaccine","Yes",18.04
298,0,"OIF/OEF/OND","Anthrax Vaccine","No",72.01
170,0,"OIF/OEF/OND","Anthrax Vaccine","No",76.48
225,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",11.56
203,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",70.2
180,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",68.54
2,0,"ODSS","Anthrax Vaccine","Don't Know",67.96
130,0,"ODSS","Anthrax Vaccine","No",68.19
371,0,"OIF/OEF/OND","Anthrax Vaccine","No",66.04
171,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",72.28
293,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",72.95
390,0,"ODSS","Anthrax Vaccine","Yes",68.89
112,0,"ODSS","Anthrax Vaccine","Don't Know",64.11
333,0,"ODSS","Anthrax Vaccine","Yes",72.07
36,0,"OIF/OEF/OND","Anthrax Vaccine","No",19.24
35,0,"ODSS","Anthrax Vaccine","Don't Know",15.79
87,0,"ODSS","Anthrax Vaccine","Don't Know",79.73
292,0,"OIF/OEF/OND","Anthrax Vaccine","No",66.01
111,0,"ODSS","Anthrax Vaccine","Don't Know",77.2
361,0,"ODSS","Anthrax Vaccine","Don't Know",65.22
406,0,"OIF/OEF/OND","Anthrax Vaccine","No",69.8
31,0,"OIF/OEF/OND","Anthrax Vaccine","No",19.36
73,0,"ODSS","Anthrax Vaccine","Don't Know",70.55
289,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",77.32
354,0,"ODSS","Anthrax Vaccine","Yes",72.97
92,0,"ODSS","Anthrax Vaccine","Yes",69.7
318,0,"ODSS","Anthrax Vaccine","No",63.73
392,0,"ODSS","Anthrax Vaccine","No",18.79
150,0,"ODSS","Anthrax Vaccine","Don't Know",66.16
239,0,"ODSS","Anthrax Vaccine","Don't Know",19.85
376,0,"OIF/OEF/OND","Anthrax Vaccine","No",69.83
334,0,"OIF/OEF/OND","Anthrax Vaccine","No",19.72
30,0,"OIF/OEF/OND","Anthrax Vaccine","No",69.31
156,0,"ODSS","Anthrax Vaccine","Don't Know",16.96
412,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",70.2
276,0,"ODSS","Anthrax Vaccine","No",72.21
261,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",3.41
301,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",70.31
282,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",73.1
142,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",16.06
275,0,"ODSS","Anthrax Vaccine","No",77.02
132,0,"ODSS","Anthrax Vaccine","No",72.36
8,0,"ODSS","Anthrax Vaccine","Don't Know",76.74
271,0,"OIF/OEF/OND","Anthrax Vaccine","No",9.64
123,0,"ODSS","Anthrax Vaccine","Yes",14.1
175,0,"ODSS","Anthrax Vaccine","Yes",73.11
246,0,"ODSS","Anthrax Vaccine","Don't Know",72.15
297,0,"ODSS","Anthrax Vaccine","No",76.21
19,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",64.16
269,0,"ODSS","Anthrax Vaccine","Don't Know",68.96
391,0,"ODSS","Anthrax Vaccine","Don't Know",75.3
149,0,"ODSS","Anthrax Vaccine","Don't Know",65.15
221,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",17.11
268,0,"ODSS","Anthrax Vaccine","Don't Know",75.45
385,0,"ODSS","Anthrax Vaccine","Don't Know",15.24
345,0,"ODSS","Anthrax Vaccine","Yes",15.56
50,0,"ODSS","Anthrax Vaccine","Yes",18.76
28,0,"ODSS","Anthrax Vaccine","No",69.78
12,0,"ODSS","Anthrax Vaccine","No",25.24
181,0,"ODSS","Anthrax Vaccine","No",63.72
401,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",18.72
341,0,"ODSS","Anthrax Vaccine","Yes",72
193,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",76.46
6,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",71.75
59,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",74.12
88,0,"ODSS","Anthrax Vaccine","Yes",13.95
304,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",4.35
18,0,"OIF/OEF/OND","Anthrax Vaccine","No",13.87
216,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",71.85
389,0,"ODSS","Anthrax Vaccine","Yes",73.68
190,0,"ODSS","Anthrax Vaccine","Yes",68.36
114,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",69.35
245,0,"OIF/OEF/OND","Anthrax Vaccine","No",71.06
213,0,"OIF/OEF/OND","Anthrax Vaccine","No",66.85
56,0,"ODSS","Anthrax Vaccine","Yes",73.26
79,0,"ODSS","Anthrax Vaccine","Yes",71.3
68,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",67.26
395,0,"ODSS","Anthrax Vaccine","No",70.51
140,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",68.45
218,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",12.55
281,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",76.16
410,0,"ODSS","Anthrax Vaccine","No",73.43
394,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",63.61
120,0,"ODSS","Anthrax Vaccine","Yes",63.99
138,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",69.12
414,0,"ODSS","Anthrax Vaccine","Don't Know",71.65
95,0,"ODSS","Anthrax Vaccine","Don't Know",70.8
403,0,"ODSS","Anthrax Vaccine","No",13.11
231,0,"OIF/OEF/OND","Anthrax Vaccine","No",67.87
259,0,"ODSS","Anthrax Vaccine","Don't Know",69.55
71,0,"ODSS","Anthrax Vaccine","No",69.66
65,0,"OIF/OEF/OND","Anthrax Vaccine","No",69.23
60,0,"ODSS","Anthrax Vaccine","Don't Know",70.67
234,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",11.29
37,0,"OIF/OEF/OND","Anthrax Vaccine","No",6.51
388,0,"ODSS","Anthrax Vaccine","Yes",61.65
1,0,"ODSS","Anthrax Vaccine","No",17.1
233,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",71.64
219,0,"OIF/OEF/OND","Anthrax Vaccine","Don't Know",71
70,0,"ODSS","Anthrax Vaccine","Yes",18.15
379,0,"OIF/OEF/OND","Anthrax Vaccine","Yes",62.95
179,0,"OIF/OEF/OND","Asbestos","No",31.92
14,0,"OIF/OEF/OND","Asbestos","Yes",44.86
118,0,"OIF/OEF/OND","Asbestos","Yes",31.54
256,0,"OIF/OEF/OND","Asbestos","Don't Know",50.17
254,0,"ODSS","Asbestos","Don't Know",34.32
211,0,"OIF/OEF/OND","Asbestos","Yes",52.06
359,0,"OIF/OEF/OND","Asbestos","Yes",49.75
32,0,"ODSS","Asbestos","Don't Know",17.01
109,0,"ODSS","Asbestos","Don't Know",50.78
23,0,"ODSS","Asbestos","Yes",13.32
224,0,"ODSS","Asbestos","Yes",28.1
166,0,"OIF/OEF/OND","Asbestos","No",41.39
76,0,"ODSS","Asbestos","No",51.85
353,0,"ODSS","Asbestos","Don't Know",16.07
347,0,"OIF/OEF/OND","Asbestos","Yes",42.17
294,0,"ODSS","Asbestos","No",51.38
41,0,"OIF/OEF/OND","Asbestos","Don't Know",32.38
316,0,"OIF/OEF/OND","Asbestos","No",44.27
342,0,"OIF/OEF/OND","Asbestos","Yes",47.2
39,0,"OIF/OEF/OND","Asbestos","Yes",53.89
159,0,"OIF/OEF/OND","Asbestos","No",40.96
240,0,"ODSS","Asbestos","Yes",29.67
286,0,"ODSS","Asbestos","Don't Know",49.81
158,0,"ODSS","Asbestos","Yes",39.7
199,0,"OIF/OEF/OND","Asbestos","Yes",18.77
160,0,"ODSS","Asbestos","No",50.37
155,0,"ODSS","Asbestos","Yes",44.85
66,0,"OIF/OEF/OND","Asbestos","Don't Know",18.33
298,0,"ODSS","Asbestos","Don't Know",47.68
170,0,"OIF/OEF/OND","Asbestos","Yes",26.25
225,0,"ODSS","Asbestos","Yes",20.61
203,0,"OIF/OEF/OND","Asbestos","No",47.78
180,0,"OIF/OEF/OND","Asbestos","Don't Know",34.48
2,0,"ODSS","Asbestos","No",49.61
130,0,"ODSS","Asbestos","No",32.97
371,0,"OIF/OEF/OND","Asbestos","Yes",25.61
171,0,"OIF/OEF/OND","Asbestos","Yes",26.79
293,0,"ODSS","Asbestos","No",50.36
390,0,"OIF/OEF/OND","Asbestos","Don't Know",42.06
112,0,"ODSS","Asbestos","No",44.78
333,0,"OIF/OEF/OND","Asbestos","No",46.25
36,0,"OIF/OEF/OND","Asbestos","No",25.96
35,0,"OIF/OEF/OND","Asbestos","Don't Know",30.54
87,0,"OIF/OEF/OND","Asbestos","Don't Know",40.85
292,0,"OIF/OEF/OND","Asbestos","Don't Know",27.05
111,0,"ODSS","Asbestos","Yes",23.38
361,0,"ODSS","Asbestos","Yes",42.77
406,0,"ODSS","Asbestos","Don't Know",22.83
31,0,"OIF/OEF/OND","Asbestos","Don't Know",27.99
73,0,"OIF/OEF/OND","Asbestos","No",20.81
289,0,"OIF/OEF/OND","Asbestos","Don't Know",53.71
354,0,"ODSS","Asbestos","Yes",52.2
92,0,"ODSS","Asbestos","Don't Know",29.23
318,0,"ODSS","Asbestos","Don't Know",37.87
392,0,"OIF/OEF/OND","Asbestos","Yes",41.76
150,0,"ODSS","Asbestos","Yes",17.19
239,0,"ODSS","Asbestos","No",47.37
376,0,"OIF/OEF/OND","Asbestos","Yes",44.97
334,0,"OIF/OEF/OND","Asbestos","No",44.39
30,0,"OIF/OEF/OND","Asbestos","Yes",18.47
156,0,"ODSS","Asbestos","Don't Know",56.7
412,0,"ODSS","Asbestos","Yes",14.01
276,0,"ODSS","Asbestos","Don't Know",14.36
261,0,"ODSS","Asbestos","Don't Know",32.15
301,0,"OIF/OEF/OND","Asbestos","Yes",51.31
282,0,"OIF/OEF/OND","Asbestos","No",28.86
142,0,"ODSS","Asbestos","Yes",57.37
275,0,"ODSS","Asbestos","Don't Know",44.21
132,0,"ODSS","Asbestos","Don't Know",27.42
8,0,"ODSS","Asbestos","Don't Know",47.25
271,0,"ODSS","Asbestos","No",43.03
123,0,"ODSS","Asbestos","Don't Know",45.24
175,0,"OIF/OEF/OND","Asbestos","Don't Know",43.49
246,0,"ODSS","Asbestos","Don't Know",25.62
297,0,"OIF/OEF/OND","Asbestos","Don't Know",18.29
19,0,"ODSS","Asbestos","Yes",30.6
269,0,"ODSS","Asbestos","No",21.24
391,0,"ODSS","Asbestos","Don't Know",52.78
149,0,"OIF/OEF/OND","Asbestos","Yes",45.09
221,0,"ODSS","Asbestos","Don't Know",52.45
268,0,"ODSS","Asbestos","No",39.12
385,0,"ODSS","Asbestos","Don't Know",34.59
345,0,"ODSS","Asbestos","No",48.55
50,0,"ODSS","Asbestos","No",33.06
28,0,"OIF/OEF/OND","Asbestos","Don't Know",38.87
12,0,"ODSS","Asbestos","Don't Know",49.83
181,0,"OIF/OEF/OND","Asbestos","Don't Know",50.88
401,0,"ODSS","Asbestos","No",48.39
341,0,"OIF/OEF/OND","Asbestos","Don't Know",20.56
193,0,"OIF/OEF/OND","Asbestos","Yes",15.93
6,0,"OIF/OEF/OND","Asbestos","Yes",50
59,0,"OIF/OEF/OND","Asbestos","Don't Know",24.31
88,0,"ODSS","Asbestos","Yes",36.54
304,0,"OIF/OEF/OND","Asbestos","No",45.8
18,0,"ODSS","Asbestos","No",24.68
216,0,"ODSS","Asbestos","No",49.61
389,0,"ODSS","Asbestos","Don't Know",24.2
190,0,"OIF/OEF/OND","Asbestos","No",14.73
114,0,"OIF/OEF/OND","Asbestos","No",54.01
245,0,"OIF/OEF/OND","Asbestos","Yes",25.59
213,0,"ODSS","Asbestos","Don't Know",56.95
56,0,"OIF/OEF/OND","Asbestos","Yes",20.05
79,0,"OIF/OEF/OND","Asbestos","No",16.06
68,0,"ODSS","Asbestos","No",32.3
395,0,"OIF/OEF/OND","Asbestos","Yes",29.7
140,0,"ODSS","Asbestos","Don't Know",44.4
218,0,"ODSS","Asbestos","Don't Know",49.9
281,0,"ODSS","Asbestos","No",49.07
410,0,"ODSS","Asbestos","No",31.71
394,0,"OIF/OEF/OND","Asbestos","Don't Know",37.19
120,0,"OIF/OEF/OND","Asbestos","Yes",29.69
138,0,"ODSS","Asbestos","Yes",29.29
414,0,"OIF/OEF/OND","Asbestos","No",17.59
95,0,"ODSS","Asbestos","No",54.91
403,0,"ODSS","Asbestos","Yes",52.89
231,0,"OIF/OEF/OND","Asbestos","Don't Know",52
259,0,"OIF/OEF/OND","Asbestos","Don't Know",37.13
71,0,"ODSS","Asbestos","Don't Know",44.52
65,0,"ODSS","Asbestos","Yes",32.22
60,0,"ODSS","Asbestos","Don't Know",32.54
234,0,"ODSS","Asbestos","Yes",47.76
37,0,"OIF/OEF/OND","Asbestos","No",25.64
388,0,"OIF/OEF/OND","Asbestos","Don't Know",19.29
1,0,"ODSS","Asbestos","Yes",26.15
233,0,"ODSS","Asbestos","Don't Know",24.18
219,0,"ODSS","Asbestos","Yes",43.22
70,0,"OIF/OEF/OND","Asbestos","Don't Know",54.57
379,0,"OIF/OEF/OND","Asbestos","Don't Know",54.14
179,0,"ODSS","Biological Warfare Agents","No",64.12
14,0,"OIF/OEF/OND","Biological Warfare Agents","No",51.54
118,0,"ODSS","Biological Warfare Agents","Yes",15.34
256,0,"ODSS","Biological Warfare Agents","Don't Know",63.83
254,0,"ODSS","Biological Warfare Agents","Yes",59.32
211,0,"ODSS","Biological Warfare Agents","No",42.7
359,0,"OIF/OEF/OND","Biological Warfare Agents","No",59.09
32,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",62.69
109,0,"ODSS","Biological Warfare Agents","Yes",54.53
23,0,"OIF/OEF/OND","Biological Warfare Agents","No",27.55
224,0,"ODSS","Biological Warfare Agents","Yes",57.85
166,0,"ODSS","Biological Warfare Agents","Don't Know",62.81
76,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",59.04
353,0,"OIF/OEF/OND","Biological Warfare Agents","No",47.9
347,0,"ODSS","Biological Warfare Agents","Yes",58.59
294,0,"ODSS","Biological Warfare Agents","No",51.56
41,0,"OIF/OEF/OND","Biological Warfare Agents","No",34.84
316,0,"OIF/OEF/OND","Biological Warfare Agents","No",62
342,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",58.86
39,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",61.03
159,0,"OIF/OEF/OND","Biological Warfare Agents","No",30.4
240,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",0.24
286,0,"ODSS","Biological Warfare Agents","No",60.68
158,0,"ODSS","Biological Warfare Agents","No",30.91
199,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",60.62
160,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",58.52
155,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",53.51
66,0,"OIF/OEF/OND","Biological Warfare Agents","No",33.08
298,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",59.77
170,0,"OIF/OEF/OND","Biological Warfare Agents","No",5.88
225,0,"ODSS","Biological Warfare Agents","Yes",12.51
203,0,"ODSS","Biological Warfare Agents","Yes",37.52
180,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",60.43
2,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",55.96
130,0,"ODSS","Biological Warfare Agents","No",36.18
371,0,"ODSS","Biological Warfare Agents","Don't Know",58.15
171,0,"ODSS","Biological Warfare Agents","No",25.9
293,0,"ODSS","Biological Warfare Agents","Don't Know",34.75
390,0,"ODSS","Biological Warfare Agents","Yes",1.73
112,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",48.82
333,0,"ODSS","Biological Warfare Agents","No",52.2
36,0,"ODSS","Biological Warfare Agents","No",58.87
35,0,"ODSS","Biological Warfare Agents","Don't Know",24.08
87,0,"OIF/OEF/OND","Biological Warfare Agents","No",49.79
292,0,"ODSS","Biological Warfare Agents","Don't Know",64
111,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",32.59
361,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",55.29
406,0,"ODSS","Biological Warfare Agents","Yes",63.24
31,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",62.29
73,0,"OIF/OEF/OND","Biological Warfare Agents","No",34.78
289,0,"ODSS","Biological Warfare Agents","No",56.36
354,0,"ODSS","Biological Warfare Agents","Don't Know",56
92,0,"ODSS","Biological Warfare Agents","Don't Know",60.4
318,0,"ODSS","Biological Warfare Agents","Don't Know",48.77
392,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",52.55
150,0,"OIF/OEF/OND","Biological Warfare Agents","No",70.6
239,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",58.7
376,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",60.01
334,0,"ODSS","Biological Warfare Agents","No",49.18
30,0,"ODSS","Biological Warfare Agents","No",6.67
156,0,"ODSS","Biological Warfare Agents","No",62.16
412,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",58.07
276,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",56.36
261,0,"ODSS","Biological Warfare Agents","Yes",12.36
301,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",27.55
282,0,"ODSS","Biological Warfare Agents","Don't Know",62.38
142,0,"OIF/OEF/OND","Biological Warfare Agents","No",58.69
275,0,"ODSS","Biological Warfare Agents","Yes",35.06
132,0,"ODSS","Biological Warfare Agents","No",30.77
8,0,"ODSS","Biological Warfare Agents","Don't Know",7.67
271,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",57.77
123,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",54.03
175,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",28.63
246,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",32.88
297,0,"OIF/OEF/OND","Biological Warfare Agents","No",62.77
19,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",58.32
269,0,"ODSS","Biological Warfare Agents","Yes",32.47
391,0,"OIF/OEF/OND","Biological Warfare Agents","Don't Know",60.41
149,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",56.39
221,0,"OIF/OEF/OND","Biological Warfare Agents","No",57.95
268,0,"ODSS","Biological Warfare Agents","Yes",39.04
385,0,"OIF/OEF/OND","Biological Warfare Agents","Yes",19.46
