"exposureName","conditionClass","milConflictCode","exposureValue","hasConditionClass","Freq","Percent","splitGroup"
"Agent Orange or Other Herbicides","Immune System Disorders","ODSS",NA,NA,41,52.42,"Second Third"
"Agent Orange or Other Herbicides","Immune System Disorders","OIF/OEF/OND",NA,NA,7,7.6,"Second Third"
"Agent Orange or Other Herbicides","Immune System Disorders","ODSS",NA,NA,4,5.97,"Last Third"
"Agent Orange or Other Herbicides","Immune System Disorders","OIF/OEF/OND",NA,NA,17,36.4,"First Third"
"Agent Orange or Other Herbicides","Immune System Disorders","OIF/OEF/OND",NA,NA,28,51.53,"First Third"
"Agent Orange or Other Herbicides","Immune System Disorders","ODSS",NA,NA,6,14.31,"Last Third"
"Agent Orange or Other Herbicides","Immune System Disorders","OIF/OEF/OND",NA,NA,3,7.68,"Second Third"
"Agent Orange or Other Herbicides","Infectious Conditions","ODSS",NA,NA,32,48.99,"Last Third"
"Agent Orange or Other Herbicides","Infectious Conditions","ODSS",NA,NA,23,38.61,"Last Third"
"Agent Orange or Other Herbicides","Infectious Conditions","OIF/OEF/OND",NA,NA,7,7.53,"Last Third"
"Agent Orange or Other Herbicides","Infectious Conditions","ODSS",NA,NA,4,1.58,"Last Third"
"Agent Orange or Other Herbicides","Infectious Conditions","ODSS",NA,NA,28,48.86,"First Third"
"Agent Orange or Other Herbicides","Infectious Conditions","OIF/OEF/OND",NA,NA,27,35.68,"Last Third"
"Agent Orange or Other Herbicides","Infectious Conditions","ODSS",NA,NA,6,12.09,"First Third"
"Agent Orange or Other Herbicides","Infectious Conditions","ODSS",NA,NA,2,5.54,"First Third"
"Agent Orange or Other Herbicides","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,2,9.21,"Last Third"
"Agent Orange or Other Herbicides","Musculoskeletal Conditions","ODSS",NA,NA,56,81.25,"Last Third"
"Agent Orange or Other Herbicides","Musculoskeletal Conditions","ODSS",NA,NA,5,0.99,"First Third"
"Agent Orange or Other Herbicides","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,6,12.54,"Second Third"
"Agent Orange or Other Herbicides","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,10,7.94,"First Third"
"Agent Orange or Other Herbicides","Musculoskeletal Conditions","ODSS",NA,NA,42,71.74,"Second Third"
"Agent Orange or Other Herbicides","Musculoskeletal Conditions","ODSS",NA,NA,5,2.67,"Second Third"
"Agent Orange or Other Herbicides","Musculoskeletal Conditions","ODSS",NA,NA,5,11.28,"First Third"
"Agent Orange or Other Herbicides","Neoplasms","OIF/OEF/OND",NA,NA,49,72.83,"First Third"
"Agent Orange or Other Herbicides","Neoplasms","ODSS",NA,NA,8,10.21,"First Third"
"Agent Orange or Other Herbicides","Neoplasms","OIF/OEF/OND",NA,NA,2,6.59,"Last Third"
"Agent Orange or Other Herbicides","Neoplasms","OIF/OEF/OND",NA,NA,2,5.29,"First Third"
"Agent Orange or Other Herbicides","Neoplasms","ODSS",NA,NA,38,83.6,"First Third"
"Agent Orange or Other Herbicides","Neoplasms","OIF/OEF/OND",NA,NA,8,5.54,"First Third"
"Agent Orange or Other Herbicides","Neoplasms","ODSS",NA,NA,6,6.09,"Second Third"
"Agent Orange or Other Herbicides","Neoplasms","ODSS",NA,NA,4,3.51,"First Third"
"Agent Orange or Other Herbicides","Neurological Conditions","OIF/OEF/OND",NA,NA,7,15.76,"First Third"
"Agent Orange or Other Herbicides","Neurological Conditions","OIF/OEF/OND",NA,NA,50,83,"Second Third"
"Agent Orange or Other Herbicides","Neurological Conditions","ODSS",NA,NA,11,4.24,"First Third"
"Agent Orange or Other Herbicides","Neurological Conditions","OIF/OEF/OND",NA,NA,9,9.11,"Last Third"
"Agent Orange or Other Herbicides","Neurological Conditions","ODSS",NA,NA,6,18.49,"First Third"
"Agent Orange or Other Herbicides","Neurological Conditions","ODSS",NA,NA,44,75.48,"First Third"
"Agent Orange or Other Herbicides","Neurological Conditions","ODSS",NA,NA,1,5.08,"Second Third"
"Agent Orange or Other Herbicides","Neurological Conditions","OIF/OEF/OND",NA,NA,2,3.87,"Last Third"
"Agent Orange or Other Herbicides","Nutritional and Metabolic Diseases","ODSS",NA,NA,51,87.94,"Last Third"
"Agent Orange or Other Herbicides","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,2,3.3,"Last Third"
"Agent Orange or Other Herbicides","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,7,11.87,"Last Third"
"Agent Orange or Other Herbicides","Nutritional and Metabolic Diseases","ODSS",NA,NA,51,90.07,"Last Third"
"Agent Orange or Other Herbicides","Nutritional and Metabolic Diseases","ODSS",NA,NA,2,17.68,"First Third"
"Agent Orange or Other Herbicides","Psychiatric Conditions","OIF/OEF/OND",NA,NA,8,17.43,"Last Third"
"Agent Orange or Other Herbicides","Psychiatric Conditions","ODSS",NA,NA,47,73.26,"First Third"
"Agent Orange or Other Herbicides","Psychiatric Conditions","OIF/OEF/OND",NA,NA,4,4.33,"Last Third"
"Agent Orange or Other Herbicides","Psychiatric Conditions","OIF/OEF/OND",NA,NA,9,15.68,"Second Third"
"Agent Orange or Other Herbicides","Psychiatric Conditions","OIF/OEF/OND",NA,NA,1,14.58,"Last Third"
"Agent Orange or Other Herbicides","Psychiatric Conditions","ODSS",NA,NA,46,80.27,"Second Third"
"Agent Orange or Other Herbicides","Psychiatric Conditions","ODSS",NA,NA,3,0,"First Third"
"Agent Orange or Other Herbicides","Psychiatric Conditions","OIF/OEF/OND",NA,NA,12,3.38,"First Third"
"Agent Orange or Other Herbicides","Respiratory Conditions","ODSS",NA,NA,28,38.38,"First Third"
"Agent Orange or Other Herbicides","Respiratory Conditions","ODSS",NA,NA,34,50.24,"First Third"
"Agent Orange or Other Herbicides","Respiratory Conditions","OIF/OEF/OND",NA,NA,12,10.66,"First Third"
"Agent Orange or Other Herbicides","Respiratory Conditions","ODSS",NA,NA,4,2.52,"Last Third"
"Agent Orange or Other Herbicides","Respiratory Conditions","OIF/OEF/OND",NA,NA,20,45.81,"Last Third"
"Agent Orange or Other Herbicides","Respiratory Conditions","ODSS",NA,NA,25,37.33,"First Third"
"Agent Orange or Other Herbicides","Respiratory Conditions","ODSS",NA,NA,5,3.9,"Second Third"
"Agent Orange or Other Herbicides","Respiratory Conditions","OIF/OEF/OND",NA,NA,0,8.1,"Last Third"
"Agent Orange or Other Herbicides","Sensory Organ Disease","ODSS",NA,NA,29,40.04,"Second Third"
"Agent Orange or Other Herbicides","Sensory Organ Disease","OIF/OEF/OND",NA,NA,36,55.58,"Last Third"
"Agent Orange or Other Herbicides","Sensory Organ Disease","OIF/OEF/OND",NA,NA,5,10.75,"Last Third"
"Agent Orange or Other Herbicides","Sensory Organ Disease","ODSS",NA,NA,1,5.08,"First Third"
"Agent Orange or Other Herbicides","Sensory Organ Disease","ODSS",NA,NA,26,53.18,"Last Third"
"Agent Orange or Other Herbicides","Sensory Organ Disease","OIF/OEF/OND",NA,NA,24,36.14,"Second Third"
"Agent Orange or Other Herbicides","Sensory Organ Disease","ODSS",NA,NA,1,5.76,"First Third"
"Agent Orange or Other Herbicides","Sensory Organ Disease","ODSS",NA,NA,1,0.16,"Last Third"
"Agent Orange or Other Herbicides","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,47,66.34,"Last Third"
"Agent Orange or Other Herbicides","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,7,17.03,"Last Third"
"Agent Orange or Other Herbicides","Substance Abuse Disorders","ODSS",NA,NA,9,19.98,"First Third"
"Agent Orange or Other Herbicides","Substance Abuse Disorders","ODSS",NA,NA,5,5.75,"Last Third"
"Agent Orange or Other Herbicides","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,44,77.67,"First Third"
"Agent Orange or Other Herbicides","Substance Abuse Disorders","ODSS",NA,NA,7,5.28,"Second Third"
"Agent Orange or Other Herbicides","Substance Abuse Disorders","ODSS",NA,NA,8,13.54,"First Third"
"Animal Bites","Cardiovascular Conditions","ODSS",NA,NA,25,29.43,"Second Third"
"Animal Bites","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,55,61.71,"Last Third"
"Animal Bites","Cardiovascular Conditions","ODSS",NA,NA,7,5.38,"First Third"
"Animal Bites","Cardiovascular Conditions","ODSS",NA,NA,3,11.02,"First Third"
"Animal Bites","Cardiovascular Conditions","ODSS",NA,NA,31,37.79,"First Third"
"Animal Bites","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,41,48.86,"First Third"
"Animal Bites","Cardiovascular Conditions","ODSS",NA,NA,11,6.36,"Second Third"
"Animal Bites","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,3,0.28,"Last Third"
"Animal Bites","Chronic Multisymptom Disorder","ODSS",NA,NA,43,42.03,"Last Third"
"Animal Bites","Chronic Multisymptom Disorder","ODSS",NA,NA,41,48.09,"Last Third"
"Animal Bites","Chronic Multisymptom Disorder","ODSS",NA,NA,4,3.83,"First Third"
"Animal Bites","Chronic Multisymptom Disorder","ODSS",NA,NA,5,2.3,"Last Third"
"Animal Bites","Chronic Multisymptom Disorder","OIF/OEF/OND",NA,NA,55,73.34,"First Third"
"Animal Bites","Chronic Multisymptom Disorder","ODSS",NA,NA,17,19.27,"First Third"
"Animal Bites","Chronic Multisymptom Disorder","ODSS",NA,NA,6,8.36,"Second Third"
"Animal Bites","Chronic Multisymptom Disorder","ODSS",NA,NA,4,8.99,"Second Third"
"Animal Bites","Dermatological Conditions","OIF/OEF/OND",NA,NA,71,80.86,"First Third"
"Animal Bites","Dermatological Conditions","ODSS",NA,NA,6,1.29,"First Third"
"Animal Bites","Dermatological Conditions","ODSS",NA,NA,8,2.51,"Second Third"
"Animal Bites","Dermatological Conditions","OIF/OEF/OND",NA,NA,3,6.11,"Second Third"
"Animal Bites","Dermatological Conditions","ODSS",NA,NA,60,79.75,"First Third"
"Animal Bites","Dermatological Conditions","OIF/OEF/OND",NA,NA,9,1.75,"Last Third"
"Animal Bites","Dermatological Conditions","ODSS",NA,NA,10,17.79,"Last Third"
"Animal Bites","Endocrine Disorders","OIF/OEF/OND",NA,NA,51,64.05,"First Third"
"Animal Bites","Endocrine Disorders","OIF/OEF/OND",NA,NA,27,29.33,"Second Third"
"Animal Bites","Endocrine Disorders","ODSS",NA,NA,9,21.09,"First Third"
"Animal Bites","Endocrine Disorders","OIF/OEF/OND",NA,NA,63,78.68,"Second Third"
"Animal Bites","Endocrine Disorders","OIF/OEF/OND",NA,NA,11,5.55,"First Third"
"Animal Bites","Endocrine Disorders","ODSS",NA,NA,10,8.93,"Last Third"
"Animal Bites","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,32,26.2,"Second Third"
"Animal Bites","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,56,54.55,"Last Third"
"Animal Bites","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,4,3.56,"First Third"
"Animal Bites","Gastrointestinal Conditions","ODSS",NA,NA,5,7.55,"Second Third"
"Animal Bites","Gastrointestinal Conditions","ODSS",NA,NA,31,36.77,"Last Third"
"Animal Bites","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,38,42.13,"Last Third"
"Animal Bites","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,8,4.35,"Second Third"
"Animal Bites","Gastrointestinal Conditions","OIF/OEF/OND",NA,NA,5,4.53,"Second Third"
"Animal Bites","Genitourinary System Diseases","ODSS",NA,NA,59,65.47,"Second Third"
"Animal Bites","Genitourinary System Diseases","ODSS",NA,NA,24,16.56,"Last Third"
"Animal Bites","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,11,10.31,"Last Third"
"Animal Bites","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,4,2.73,"Last Third"
"Animal Bites","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,57,77.79,"Last Third"
"Animal Bites","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,10,20.68,"Last Third"
"Animal Bites","Genitourinary System Diseases","OIF/OEF/OND",NA,NA,6,8.43,"Second Third"
"Animal Bites","Heatstroke and Sunstroke","ODSS",NA,NA,61,73.34,"Second Third"
"Animal Bites","Heatstroke and Sunstroke","ODSS",NA,NA,17,17.13,"First Third"
"Animal Bites","Heatstroke and Sunstroke","ODSS",NA,NA,7,6.59,"Last Third"
"Animal Bites","Heatstroke and Sunstroke","ODSS",NA,NA,5,6.32,"Second Third"
"Animal Bites","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,53,65.04,"Second Third"
"Animal Bites","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,15,17.41,"Last Third"
"Animal Bites","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,9,2.45,"Second Third"
"Animal Bites","Heatstroke and Sunstroke","OIF/OEF/OND",NA,NA,6,2.43,"First Third"
"Animal Bites","Hematological Conditions","ODSS",NA,NA,72,83.24,"Last Third"
"Animal Bites","Hematological Conditions","OIF/OEF/OND",NA,NA,8,7.41,"Last Third"
"Animal Bites","Hematological Conditions","OIF/OEF/OND",NA,NA,12,9.83,"Last Third"
"Animal Bites","Hematological Conditions","OIF/OEF/OND",NA,NA,3,3.73,"Second Third"
"Animal Bites","Hematological Conditions","OIF/OEF/OND",NA,NA,65,83.8,"Second Third"
"Animal Bites","Hematological Conditions","ODSS",NA,NA,9,3.61,"Second Third"
"Animal Bites","Hematological Conditions","OIF/OEF/OND",NA,NA,5,12.55,"Last Third"
"Animal Bites","Hematological Conditions","OIF/OEF/OND",NA,NA,1,2.44,"Last Third"
"Animal Bites","Immune System Disorders","ODSS",NA,NA,36,36.29,"Last Third"
"Animal Bites","Immune System Disorders","ODSS",NA,NA,44,47.46,"Last Third"
"Animal Bites","Immune System Disorders","ODSS",NA,NA,8,8.1,"Second Third"
"Animal Bites","Immune System Disorders","ODSS",NA,NA,1,2.95,"Last Third"
"Animal Bites","Immune System Disorders","ODSS",NA,NA,27,34.05,"Second Third"
"Animal Bites","Immune System Disorders","ODSS",NA,NA,38,56.5,"First Third"
"Animal Bites","Immune System Disorders","ODSS",NA,NA,11,7.2,"Last Third"
"Animal Bites","Immune System Disorders","ODSS",NA,NA,9,11.85,"Last Third"
"Animal Bites","Infectious Conditions","ODSS",NA,NA,48,47,"Second Third"
"Animal Bites","Infectious Conditions","ODSS",NA,NA,37,39.59,"Last Third"
"Animal Bites","Infectious Conditions","ODSS",NA,NA,11,2.14,"Second Third"
"Animal Bites","Infectious Conditions","ODSS",NA,NA,1,0.21,"First Third"
"Animal Bites","Infectious Conditions","ODSS",NA,NA,48,55.18,"Second Third"
"Animal Bites","Infectious Conditions","ODSS",NA,NA,30,44.41,"First Third"
"Animal Bites","Infectious Conditions","ODSS",NA,NA,6,14.39,"First Third"
"Animal Bites","Infectious Conditions","ODSS",NA,NA,1,5.01,"Last Third"
"Animal Bites","Musculoskeletal Conditions","ODSS",NA,NA,4,12.35,"First Third"
"Animal Bites","Musculoskeletal Conditions","ODSS",NA,NA,70,79.35,"First Third"
"Animal Bites","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,2,0.72,"Second Third"
"Animal Bites","Musculoskeletal Conditions","ODSS",NA,NA,10,5.61,"First Third"
"Animal Bites","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,12,15.25,"Last Third"
"Animal Bites","Musculoskeletal Conditions","ODSS",NA,NA,58,65.51,"Last Third"
"Animal Bites","Musculoskeletal Conditions","ODSS",NA,NA,8,6.51,"Last Third"
"Animal Bites","Musculoskeletal Conditions","OIF/OEF/OND",NA,NA,8,14.23,"First Third"
"Animal Bites","Neoplasms","OIF/OEF/OND",NA,NA,66,74.58,"Last Third"
"Animal Bites","Neoplasms","OIF/OEF/OND",NA,NA,8,14.27,"Second Third"
"Animal Bites","Neoplasms","OIF/OEF/OND",NA,NA,14,16.11,"First Third"
"Animal Bites","Neoplasms","OIF/OEF/OND",NA,NA,1,5.29,"Last Third"
"Animal Bites","Neoplasms","ODSS",NA,NA,65,83.34,"First Third"
"Animal Bites","Neoplasms","ODSS",NA,NA,7,0.41,"Last Third"
"Animal Bites","Neoplasms","ODSS",NA,NA,5,8.31,"First Third"
"Animal Bites","Neoplasms","ODSS",NA,NA,7,0.06,"Last Third"
"Animal Bites","Neurological Conditions","ODSS",NA,NA,11,16.6,"Last Third"
"Animal Bites","Neurological Conditions","ODSS",NA,NA,68,78.62,"First Third"
"Animal Bites","Neurological Conditions","ODSS",NA,NA,1,2.49,"First Third"
"Animal Bites","Neurological Conditions","ODSS",NA,NA,8,17.11,"Second Third"
"Animal Bites","Neurological Conditions","OIF/OEF/OND",NA,NA,9,21.21,"First Third"
"Animal Bites","Neurological Conditions","OIF/OEF/OND",NA,NA,56,71.33,"First Third"
"Animal Bites","Neurological Conditions","OIF/OEF/OND",NA,NA,4,9.63,"Second Third"
"Animal Bites","Neurological Conditions","ODSS",NA,NA,4,9.67,"First Third"
"Animal Bites","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,79,81.98,"Second Third"
"Animal Bites","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,2,3.6,"First Third"
"Animal Bites","Nutritional and Metabolic Diseases","ODSS",NA,NA,10,13.15,"Second Third"
"Animal Bites","Nutritional and Metabolic Diseases","ODSS",NA,NA,67,86.04,"Second Third"
"Animal Bites","Nutritional and Metabolic Diseases","OIF/OEF/OND",NA,NA,2,3.32,"First Third"
"Animal Bites","Nutritional and Metabolic Diseases","ODSS",NA,NA,3,6.14,"Second Third"
"Animal Bites","Psychiatric Conditions","OIF/OEF/OND",NA,NA,14,14.69,"First Third"
"Animal Bites","Psychiatric Conditions","OIF/OEF/OND",NA,NA,68,71.63,"Second Third"
"Animal Bites","Psychiatric Conditions","ODSS",NA,NA,6,1.42,"First Third"
"Animal Bites","Psychiatric Conditions","ODSS",NA,NA,7,14.1,"Second Third"
"Animal Bites","Psychiatric Conditions","OIF/OEF/OND",NA,NA,14,18.43,"First Third"
"Animal Bites","Psychiatric Conditions","OIF/OEF/OND",NA,NA,61,78.91,"Last Third"
"Animal Bites","Psychiatric Conditions","ODSS",NA,NA,12,17.19,"First Third"
"Animal Bites","Respiratory Conditions","ODSS",NA,NA,36,36.89,"Second Third"
"Animal Bites","Respiratory Conditions","OIF/OEF/OND",NA,NA,43,50.5,"Last Third"
"Animal Bites","Respiratory Conditions","ODSS",NA,NA,4,9.86,"First Third"
"Animal Bites","Respiratory Conditions","OIF/OEF/OND",NA,NA,10,10.43,"Last Third"
"Animal Bites","Respiratory Conditions","OIF/OEF/OND",NA,NA,36,42.87,"First Third"
"Animal Bites","Respiratory Conditions","OIF/OEF/OND",NA,NA,37,43.42,"Second Third"
"Animal Bites","Respiratory Conditions","OIF/OEF/OND",NA,NA,1,1.95,"First Third"
"Animal Bites","Respiratory Conditions","OIF/OEF/OND",NA,NA,9,3.61,"Last Third"
"Animal Bites","Sensory Organ Disease","ODSS",NA,NA,46,48.64,"Last Third"
"Animal Bites","Sensory Organ Disease","ODSS",NA,NA,37,49.22,"Last Third"
"Animal Bites","Sensory Organ Disease","OIF/OEF/OND",NA,NA,2,2.97,"First Third"
"Animal Bites","Sensory Organ Disease","OIF/OEF/OND",NA,NA,9,13.36,"Second Third"
"Animal Bites","Sensory Organ Disease","ODSS",NA,NA,34,54.84,"Last Third"
"Animal Bites","Sensory Organ Disease","OIF/OEF/OND",NA,NA,32,36.84,"Second Third"
"Animal Bites","Sensory Organ Disease","ODSS",NA,NA,2,4.33,"Second Third"
"Animal Bites","Sensory Organ Disease","OIF/OEF/OND",NA,NA,5,9.06,"First Third"
"Animal Bites","Substance Abuse Disorders","ODSS",NA,NA,65,76.55,"Second Third"
"Animal Bites","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,13,2.37,"Second Third"
"Animal Bites","Substance Abuse Disorders","ODSS",NA,NA,10,13.76,"First Third"
"Animal Bites","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,1,0.98,"Last Third"
"Animal Bites","Substance Abuse Disorders","ODSS",NA,NA,62,77.15,"First Third"
"Animal Bites","Substance Abuse Disorders","ODSS",NA,NA,14,13.21,"Last Third"
"Animal Bites","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,6,11.49,"Last Third"
"Animal Bites","Substance Abuse Disorders","OIF/OEF/OND",NA,NA,1,4.15,"First Third"
"Animal Bodies","Cardiovascular Conditions","ODSS",NA,NA,8,11.5,"First Third"
"Animal Bodies","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,45,41.31,"Last Third"
"Animal Bodies","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,14,8.03,"First Third"
"Animal Bodies","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,18,28.77,"Last Third"
"Animal Bodies","Cardiovascular Conditions","OIF/OEF/OND",NA,NA,16,21.48,"First Third"
"Animal Bodies","Cardiovascular Conditions","ODSS",NA,NA,27,38.04,"First Third"
